t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,701,701,1.0000,701.0,593.198,1762.375,1813.316,1813.316,1762.375,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,638.225,729.334,755.980,775.800,729.334,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,472.677,596.854,632.345,646.119,596.854,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,104.325,266.348,282.389,294.038,266.348,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,7.681,44.118,56.078,67.617,44.118,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,5.850,19.838,25.266,25.799,19.838,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,6.971,20.661,24.067,28.514,20.661,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,3.098,13.562,16.877,17.319,13.562,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,3.880,51.557,58.880,73.659,51.557,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,2.837,25.774,34.068,37.641,25.774,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,2.099,4.025,4.732,5.085,4.025,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,2.252,3.819,4.742,4.982,3.819,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.943,3.354,4.612,5.157,3.354,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,2.070,3.858,4.294,4.667,3.858,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.893,3.402,5.747,6.085,3.402,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.805,2.896,5.873,7.683,2.896,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.797,2.766,2.973,3.456,2.766,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.967,4.247,6.837,7.097,4.247,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.802,2.828,3.197,3.684,2.828,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.752,3.256,6.100,6.996,3.256,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.744,2.781,5.363,5.952,2.781,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.778,3.222,4.799,27.108,3.222,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.851,3.878,4.450,5.108,3.878,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.839,3.381,4.281,4.462,3.381,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.833,3.255,4.631,5.497,3.255,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.852,2.974,3.641,3.688,2.974,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.877,2.852,3.275,3.338,2.852,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.975,4.001,4.836,5.871,4.001,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.897,2.833,3.144,3.167,2.833,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.919,3.519,8.583,9.000,3.519,0,0,0,0,0
0.0,1000,1000,1.0000,1000.0,3.064,382.467,448.459,450.480,382.467,0,0,0,0,0
1.0,1000,1000,1.0000,1000.0,299.157,778.278,823.154,829.811,778.278,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,194.516,503.128,523.106,537.443,503.128,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,2.304,4.313,6.712,7.707,4.313,0,0,0,0,0
4.0,1000,1000,1.0000,1000.0,2.289,4.949,7.374,9.275,4.949,0,0,0,0,0
5.0,1000,1000,1.0000,1000.0,2.179,3.964,5.989,6.844,3.964,0,0,0,0,0
6.0,1000,1000,1.0000,1000.0,2.272,4.548,7.513,8.313,4.548,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,2.042,4.452,6.550,6.843,4.452,0,0,0,0,0
8.0,1000,1000,1.0000,1000.0,1.964,3.004,3.458,3.697,3.004,0,0,0,0,0
9.0,1000,1000,1.0000,1000.0,1.986,3.364,3.823,3.885,3.364,0,0,0,0,0
10.0,1000,1000,1.0000,1000.0,1.981,3.702,6.123,6.134,3.702,0,0,0,0,0
11.0,1000,1000,1.0000,1000.0,2.157,3.974,4.528,5.527,3.974,0,0,0,0,0
12.0,1000,1000,1.0000,1000.0,2.241,4.960,6.076,7.183,4.960,0,0,0,0,0
13.0,1000,1000,1.0000,1000.0,2.009,10.885,15.994,16.205,10.885,0,0,0,0,0
14.0,1000,1000,1.0000,1000.0,1.797,2.923,3.152,3.253,2.923,0,0,0,0,0
15.0,1000,1000,1.0000,1000.0,1.807,3.279,32.253,33.246,3.279,0,0,0,0,0
16.0,1000,1000,1.0000,1000.0,1.697,2.836,5.184,6.190,2.836,0,0,0,0,0
17.0,1000,1000,1.0000,1000.0,1.810,3.426,4.350,4.580,3.426,0,0,0,0,0
18.0,1000,1000,1.0000,1000.0,1.760,2.712,2.935,3.304,2.712,0,0,0,0,0
19.0,1000,1000,1.0000,1000.0,1.780,3.287,4.231,4.586,3.287,0,0,0,0,0
20.0,1000,1000,1.0000,1000.0,1.779,2.947,3.402,3.648,2.947,0,0,0,0,0
21.0,1000,1000,1.0000,1000.0,1.795,2.887,3.131,3.335,2.887,0,0,0,0,0
22.0,1000,1000,1.0000,1000.0,1.914,4.019,4.864,5.279,4.019,0,0,0,0,0
23.0,1000,1000,1.0000,1000.0,1.891,2.908,3.710,3.940,2.908,0,0,0,0,0
24.0,1000,1000,1.0000,1000.0,1.842,2.805,3.372,3.446,2.805,0,0,0,0,0
25.0,1000,1000,1.0000,1000.0,1.890,3.239,5.938,6.786,3.239,0,0,0,0,0
26.0,1000,1000,1.0000,1000.0,1.925,2.824,2.979,3.080,2.824,0,0,0,0,0
27.0,1000,1000,1.0000,1000.0,2.037,5.572,37.277,38.284,5.572,0,0,0,0,0
28.0,1000,1000,1.0000,1000.0,1.873,4.020,5.268,5.976,4.020,0,0,0,0,0
29.0,1000,1000,1.0000,1000.0,1.865,3.508,5.020,6.081,3.508,0,0,0,0,0
30.0,1000,1000,1.0000,1000.0,1.736,2.784,3.867,6.720,2.784,0,0,0,0,0
31.0,1000,1000,1.0000,1000.0,1.775,2.925,3.658,3.888,2.925,0,0,0,0,0
32.0,1000,1000,1.0000,1000.0,1.841,4.202,5.629,5.686,4.202,0,0,0,0,0
33.0,1000,1000,1.0000,1000.0,1.766,2.920,3.835,4.091,2.920,0,0,0,0,0
34.0,1000,1000,1.0000,1000.0,1.768,2.755,3.559,3.866,2.755,0,0,0,0,0
35.0,1000,1000,1.0000,1000.0,1.781,2.824,5.577,6.226,2.824,0,0,0,0,0
36.0,1000,1000,1.0000,1000.0,1.809,2.935,3.646,4.128,2.935,0,0,0,0,0
37.0,1000,1000,1.0000,1000.0,1.906,3.696,4.300,5.010,3.696,0,0,0,0,0
38.0,1000,1000,1.0000,1000.0,1.874,5.827,33.024,36.001,5.827,0,0,0,0,0
39.0,1000,1000,1.0000,1000.0,1.853,3.213,3.882,4.572,3.213,0,0,0,0,0
40.0,1000,1000,1.0000,1000.0,1.925,2.966,3.167,3.314,2.966,0,0,0,0,0
41.0,1000,1000,1.0000,1000.0,1.866,3.497,6.142,7.896,3.497,0,0,0,0,0
42.0,1000,1000,1.0000,1000.0,1.924,3.620,4.518,4.883,3.620,0,0,0,0,0
43.0,1000,1000,1.0000,1000.0,1.808,2.873,3.398,3.446,2.873,0,0,0,0,0
44.0,1000,1000,1.0000,1000.0,1.803,3.431,5.753,6.139,3.431,0,0,0,0,0
45.0,1000,1000,1.0000,1000.0,1.811,3.390,3.781,3.814,3.390,0,0,0,0,0
46.0,1000,1000,1.0000,1000.0,1.766,2.846,3.047,3.088,2.846,0,0,0,0,0
47.0,1000,1000,1.0000,1000.0,1.858,3.934,8.304,9.281,3.934,0,0,0,0,0
48.0,1000,1000,1.0000,1000.0,1.816,3.382,36.829,38.835,3.382,0,0,0,0,0
49.0,1000,1000,1.0000,1000.0,1.813,2.949,3.237,3.347,2.949,0,0,0,0,0
50.0,1000,1000,1.0000,1000.0,1.862,3.071,5.290,5.839,3.071,0,0,0,0,0
51.0,1000,1000,1.0000,1000.0,1.851,2.843,2.962,3.045,2.843,0,0,0,0,0
52.0,1000,1000,1.0000,1000.0,1.974,3.411,3.822,4.414,3.411,0,0,0,0,0
53.0,1000,1000,1.0000,1000.0,1.916,3.331,36.729,39.775,3.331,0,0,0,0,0
54.0,1000,1000,1.0000,1000.0,1.949,3.368,4.385,4.793,3.368,0,0,0,0,0
55.0,1000,1000,1.0000,1000.0,1.881,3.020,4.182,4.923,3.020,0,0,0,0,0
56.0,1000,1000,1.0000,1000.0,1.846,3.264,4.189,4.658,3.264,0,0,0,0,0
57.0,1000,1000,1.0000,1000.0,1.920,3.618,4.616,4.689,3.618,0,0,0,0,0
58.0,1000,1000,1.0000,1000.0,1.816,3.751,36.142,38.168,3.751,0,0,0,0,0
59.0,1000,1000,1.0000,1000.0,1.803,3.581,4.136,4.287,3.581,0,0,0,0,0
60.0,1,1,1.0000,1.0,1.319,1.319,1.319,1.319,1.319,0,0,0,0,0
